2025-03-27 12:02:24; INFO; User Session Manager; 13716; 4516] (0)WebSocketClientPlugin into AddChildLibrary OK
2025-03-27 12:02:24; INFO; User Session Manager; 13716; 18844] USH_COMMAND_INIT End
2025-03-27 12:02:24; INFO; User Session Manager; 13716; 18844] UserSessionPipeStreamServer OnRead End, Command = 3
2025-03-27 12:02:24; INFO; User Session Manager; 13716; 18844] UserSessionPipeStreamServer OnRead Start, Command = 3
2025-03-27 12:02:24; INFO; User Session Manager; 13716; 18844] USH_COMMAND_INIT Start
2025-03-27 12:02:24; INFO; User Session Manager; 13716; 18844] StartRunning, Name: Aura Pluing, RunningThread 0000000000000A40
2025-03-27 12:02:24; INFO; User Session Manager; 13716; 18844] ---Started to run library Aura Pluing OK---
2025-03-27 12:02:24; INFO; WebSocketClientPlugin; 13716; 22452] DoConnectWebSocketServer Connect to URI: wss://127.0.0.1:9012
2025-03-27 12:02:24; INFO; User Session Manager; 13716; 9840] Before Library Aura Pluing into AddChildLibrary
2025-03-27 12:02:24; INFO; User Session Manager; 13716; 10408] OnPowerChange Start
2025-03-27 12:02:24; INFO; User Session Manager; 13716; 10408] OnPowerChange End
2025-03-27 12:02:25; WARNING; Aura Pluing; 13716; 9840] [AuraPlugin][Initial] !!!!!!!!! AuraPlugin START !!!!!!!!! version = 5.2.9.0
2025-03-27 12:02:25; INFO; Aura Pluing; 13716; 9840] CallLibrary Start
2025-03-27 12:02:25; INFO; Aura Pluing; 13716; 9840] CallLibrary End
2025-03-27 12:02:25; ERROR; Aura Pluing; 13716; 9840] [AuraDlg][ResetParameter] Reset Parameter
2025-03-27 12:02:25; WARNING; Aura Pluing; 13716; 9840] [AuraDlg][GetDeviceModelType] Product from BIOS ret = 65540
2025-03-27 12:02:25; WARNING; Aura Pluing; 13716; 9840] [AuraDlgLog][GetHidDevice] Find TUF Product
2025-03-27 12:02:25; INFO; Aura Pluing; 13716; 9840] [AuraDlg][InitializeAURA] InitializeAURA In 
2025-03-27 12:02:25; INFO; Aura Pluing; 13716; 9840] AuraWallpaper's Registry is not Exist !!!
2025-03-27 12:02:25; INFO; Aura Pluing; 13716; 9840] AC_Wallpaper's Registry is not Exist !!!
2025-03-27 12:02:25; WARNING; Aura Pluing; 13716; 1548] [AuraSyncDeviceClass][GetMatrixLEDDevice] Start
2025-03-27 12:02:25; WARNING; Aura Pluing; 13716; 1548] [ROGAuraInterface][GetDevListFromLightingService] from GetMatrixLEDDevice Start
2025-03-27 12:02:25; INFO; Aura Pluing; 13716; 10932] [AuraServiceHelper][GetDeviceCap] GetDeviceStatus SUCCESS
2025-03-27 12:02:25; INFO; Aura Pluing; 13716; 10932] [AuraServiceHelper][GetDeviceCap] GetDeviceCap SUCCESS
